type;name;data;unit
ValueBox;01SHUTTER;1,4800000000000002;us
ValueBox;02SHUTTER;126,5;us
ValueBox;Measrate;0,0001;kHz

MeasSignale
Zeitstempel [ms];01DIST1 [mm];02DIST1 [mm];01DIST1_PEAK [mm];02DIST1_PEAK [mm];01INTENSITY1 [%];02INTENSITY1 [%]
0,7000;6,63101;2147483396,00000;0,00136;2147483396,00000;0,391;0,000
0,7100;6,63104;2147483396,00000;0,00136;2147483396,00000;0,392;0,000
0,7200;6,63106;2147483396,00000;0,00136;2147483396,00000;0,393;0,000
0,7300;6,63108;2147483396,00000;0,00136;2147483396,00000;0,394;0,000
0,7400;6,63105;2147483396,00000;0,00136;2147483396,00000;0,393;0,000
0,7500;6,63099;2147483396,00000;0,00136;2147483396,00000;0,390;0,000
0,7600;6,63093;2147483396,00000;0,00136;2147483396,00000;0,394;0,000
0,7700;6,63092;2147483396,00000;0,00136;2147483396,00000;0,390;0,000
0,7800;6,63095;2147483396,00000;0,00136;2147483396,00000;0,392;0,000
0,7900;6,63100;2147483396,00000;0,00136;2147483396,00000;0,392;0,000
0,8000;6,63100;2147483396,00000;0,00136;2147483396,00000;0,392;0,000
0,8100;6,63100;2147483396,00000;0,00136;2147483396,00000;0,391;0,000
0,8200;6,63096;2147483396,00000;0,00136;2147483396,00000;0,389;0,000
0,8300;6,63094;2147483396,00000;0,00136;2147483396,00000;0,392;0,000
0,8400;6,63094;2147483396,00000;0,00136;2147483396,00000;0,391;0,000
0,8500;6,63095;2147483396,00000;0,00136;2147483396,00000;0,393;0,000
0,8600;6,63096;2147483396,00000;0,00136;2147483396,00000;0,392;0,000
0,8700;6,63093;2147483396,00000;0,00136;2147483396,00000;0,391;0,000
0,8800;6,63091;2147483396,00000;0,00137;2147483396,00000;0,392;0,000
0,8900;6,63089;2147483396,00000;0,00139;2147483396,00000;0,392;0,000
0,9000;6,63091;2147483396,00000;0,00139;2147483396,00000;0,394;0,000
0,9100;6,63092;2147483396,00000;0,00139;2147483396,00000;0,392;0,000
0,9200;6,63093;2147483396,00000;0,00139;2147483396,00000;0,394;0,000
0,9300;6,63088;2147483396,00000;0,00140;2147483396,00000;0,391;0,000
0,9400;6,63084;2147483396,00000;0,00145;2147483396,00000;0,391;0,000
